Discord @,In-game name,What is the highest league you have reached?,Bracket,Ace,Agent,Apex,Atomic,Bandit,Bison,Centaur,Chinese Van,Comet,Conqueror,Coupe,Cyber,Electron,Expedition,Fang,Hornet,Firearrow,Fortress,Flower,Fury,Ghost,Glamour,Hammer,Hopper,Horizon,Kaiju,Kobra,Koi,Krystal Ship,Leap,Mamba,Mantis,Maverick,Memphis,Merlin,Millennium,Minni,Monster Car,Neon,Nightown,Polluter,Predator,Project,Roamer,Rodeo,Ronin,Safari,Satin,Taxi,Thor,Timber,Time Machine,Tofu,Tow Truck,Wild West,Wingman
@.bigsheep,Sheep,35,0,Lower than lvl 30 rank S / not unlocked,A,S,S,A,S,S,S,S,SS,S,S,A,Lower than lvl 30 rank S / not unlocked,SS,S,A,A,S,A,A,Lower than lvl 30 rank S / not unlocked,S,A,S,SS,SS,S,S,S,S,Lower than lvl 30 rank S / not unlocked,S,Lower than lvl 30 rank S / not unlocked,SS,S,A,SS,A,A,S,S,Lower than lvl 30 rank S / not unlocked,S,S,S,S,A,A,SSS,S,S,S,S,S,A
@diana_rwd,Diana,35,1,Lower than lvl 30 rank S / not unlocked,A,Lower than lvl 30 rank S / not unlocked,S,S,S,S,A,A,S,S,A,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,S,S,S,A,S,A,SS,A,S,A,S,S,A,Lower than lvl 30 rank S / not unlocked,S,A,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,S,SS,S,Lower than lvl 30 rank S / not unlocked,S,B,S,S,Lower than lvl 30 rank S / not unlocked,S,SS,S,S,Lower than lvl 30 rank S / not unlocked,S,S,Lower than lvl 30 rank S / not unlocked,S,A,A,S,S
@jonreremy.,JonReremy,35,1,S,SS,SS,SS,SS,S,S,SS,SS,SSS,SS,SS,SS,SSS,SSS,SS,SS,S,SS,SSS,SSS,Lower than lvl 30 rank S / not unlocked,SS,SS,SS,SSS,SSS,Lower than lvl 30 rank S / not unlocked,SS,SS,SS,SSS,SS,SSS,SSS,SS,SS,S,SS,SS,SS,SS,S,SS,SS,SSS,SS,S,SS,SSS,SS,SSS,SS,SS,SSS,SSS
@moheganvdm,Mo,35,1,S,SS,SS,S,S,SS,SS,SS,S,SS,S,SS,SS,SS,SS,S,S,SS,SS,S,SS,Lower than lvl 30 rank S / not unlocked,S,SS,S,SS,S,Lower than lvl 30 rank S / not unlocked,SS,S,SS,Lower than lvl 30 rank S / not unlocked,SS,S,SSS,SS,S,Lower than lvl 30 rank S / not unlocked,S,SS,SS,S,Lower than lvl 30 rank S / not unlocked,SS,S,S,SS,SS,S,SS,SS,S,S,SS,S,S
@shridge,Ridge,35,1,S,SS,SS,SS,S,SSS,S,S,S,SSS,SSS,SS,SS,S,S,SS,SS,SS,SSS,SSS,SS,S,SS,SS,S,SSS,SSS,SSS,SS,SSS,SS,S,SS,SS,SSS,S,SS,A,SS,S,SS,SSS,S,SS,SS,SS,SS,SSS,SS,SSS,SS,SS,SS,SS,SS,SS
@tattoo9864,TaTToo,35,1,Lower than lvl 30 rank S / not unlocked,S,Lower than lvl 30 rank S / not unlocked,S,SS,SS,S,Lower than lvl 30 rank S / not unlocked,S,SS,S,S,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,A,S,A,A,A,S,Lower than lvl 30 rank S / not unlocked,S,S,S,SS,SS,A,S,S,SS,Lower than lvl 30 rank S / not unlocked,S,SS,SS,Lower than lvl 30 rank S / not unlocked,S,S,S,S,S,S,Lower than lvl 30 rank S / not unlocked,S,S,S,S,S,S,SS,Lower than lvl 30 rank S / not unlocked,S,S,S,A,S
@zvst.,Zest,35,1,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,S,Lower than lvl 30 rank S / not unlocked,SSS,S,S,SS,SSS,SSS,SS,S,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SSS,SS,S,SS,SS,SS,SS,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SSS,SS,S,SS,S,S,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,SSS,S,SS,S,S,Lower than lvl 30 rank S / not unlocked,S,S,S,SS,SS,SS,S,SS,SS,SSS,SS,SS,SS,S,SS,SS
@paneerchungus,Big Chungus,35,2,Lower than lvl 30 rank S / not unlocked,S,Lower than lvl 30 rank S / not unlocked,SS,SS,S,S,Lower than lvl 30 rank S / not unlocked,S,SSS,S,SS,Lower than lvl 30 rank S / not unlocked,SS,SSS,SS,SS,S,SS,SSS,SSS,SS,S,SS,Lower than lvl 30 rank S / not unlocked,S,SSS,SS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,S,S,SS,SS,S,S,S,Lower than lvl 30 rank S / not unlocked,SS,SS,Lower than lvl 30 rank S / not unlocked,S,SS,S,S,Lower than lvl 30 rank S / not unlocked,SS,SS,Lower than lvl 30 rank S / not unlocked,S,SS,SS,S,SSS
@daryl9219,Orion,35,2,Lower than lvl 30 rank S / not unlocked,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS
@fawn28,Gimmie Luv,35,2,SSS,SSS,SS,SSS,SSS,SSS,S,SSS,SS,SSS,SS,SSS,SSS,SS,SSS,SSS,SSS,SS,SSS,SSS,SS,SSS,SSS,SSS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SS,SSS,SSS,SSS,SS,SSS,SSS,SS,SSS,SSS,SSS,S,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS
@yourfavoriteproblem,Jane,35,2,SSS,Lower than lvl 30 rank S / not unlocked,S,Lower than lvl 30 rank S / not unlocked,SSS,S,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SSS,SSS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SSS,SSS,SSS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SSS,SSS,SSS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SSS,SSS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,SSS,SS,SSS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SSS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,SSS,Lower than lvl 30 rank S / not unlocked,SSS,SSS,Lower than lvl 30 rank S / not unlocked,SSS,SSS,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked
@kalaginho,Kalaginho,35,2,Lower than lvl 30 rank S / not unlocked,SSS,SSS,SSS,SS,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,S,SSS,SS,SSS,SS,SS,SS,SS,S,SSS,SS,SSS,SSS,SS,SS,SSS,SS,SS,SS,SS,SS,S,SS,SS,SSS,SS,SSS,SS,SSS,S,SS,SS,SS,SSS,SS,SS,SSS,SS,SSS,SS,SSS,SS,SS
@ken_dan,KenDan,35,2,Lower than lvl 30 rank S / not unlocked,SS,SS,S,SS,SSS,SS,SSS,SS,SS,SS,SS,SS,Lower than lvl 30 rank S / not unlocked,SSS,SS,SS,SS,SS,S,SS,SSS,SS,S,S,SS,S,SS,SS,SS,S,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,SS,S,SS,S,SS,SSS,SS,SSS,Lower than lvl 30 rank S / not unlocked,SS,SS,SSS,SS,S,S,SS,SS,SS,SS,SS,SS,SS
@yutaaah,Yutaaah,35,3,SS,SS,Lower than lvl 30 rank S / not unlocked,SS,SSS,SS,S,SS,SS,SSS,SSS,SSS,S,S,SS,S,SS,SS,SS,S,SS,SS,SSS,SS,SS,SS,SSS,SSS,SS,SSS,SSS,Lower than lvl 30 rank S / not unlocked,SS,S,SS,SS,SS,SSS,SS,SS,SS,SSS,Lower than lvl 30 rank S / not unlocked,SS,SS,SS,SS,SSS,SS,SSS,SS,SS,SS,SS,SS,SS
@.beansprout,Bean,34,3,S,S,Lower than lvl 30 rank S / not unlocked,S,S,S,S,SS,S,SSS,S,S,S,Lower than lvl 30 rank S / not unlocked,SSS,SSS,SSS,SS,SS,S,SS,SS,S,S,S,SS,SSS,SS,SS,SS,S,S,SSS,SS,Lower than lvl 30 rank S / not unlocked,SS,SS,S,SS,SS,SS,S,SS,S,SS,S,SS,S,S,SS,SS,SSS,S,SS,S,SS
@super7csr,Super7,34,3,Lower than lvl 30 rank S / not unlocked,S,Lower than lvl 30 rank S / not unlocked,S,SS,S,S,S,S,SSS,SS,SS,S,Lower than lvl 30 rank S / not unlocked,SSS,S,S,S,A,SS,S,Lower than lvl 30 rank S / not unlocked,SS,SS,S,SSS,SSS,SS,S,A,S,S,SS,S,S,SS,S,S,S,S,S,SSS,Lower than lvl 30 rank S / not unlocked,S,SS,A,S,S,S,SS,S,S,SS,S,S,A
@jslide0408,JSlide,34,3,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS
@nikora._.,KORA,34,3,S,SSS,SS,Lower than lvl 30 rank S / not unlocked,SSS,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SSS,Lower than lvl 30 rank S / not unlocked,SSS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SSS,SS,SS,SSS,Lower than lvl 30 rank S / not unlocked,SS,SS,SSS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,SSS,SS,SS,SS,SSS,S,SS,SS,SSS,S,SS,Lower than lvl 30 rank S / not unlocked,SS,SS,Lower than lvl 30 rank S / not unlocked,SSS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SSS,Lower than lvl 30 rank S / not unlocked,SSS,Lower than lvl 30 rank S / not unlocked,SS,SS,Lower than lvl 30 rank S / not unlocked,SSS,SS
@APTXE,VA-11hall-A,34,3,Lower than lvl 30 rank S / not unlocked,SSS,Lower than lvl 30 rank S / not unlocked,SS,SSS,SSS,S,SS,SS,SS,SSS,SSS,SS,Lower than lvl 30 rank S / not unlocked,SSS,SS,SS,SSS,SS,SSS,SSS,S,SSS,SS,SS,SSS,SS,SS,SSS,SS,SS,SSS,SS,SSS,SSS,SSS,SS,SS,SS,SSS,SS,SS,Lower than lvl 30 rank S / not unlocked,SS,SS,SS,SS,SS,SSS,SS,SS,SS,SS,SS,SSS,SS
@appel.pie,Appelpie,34,4,Lower than lvl 30 rank S / not unlocked,S,S,S,SS,S,Lower than lvl 30 rank S / not unlocked,SS,S,SS,S,S,S,Lower than lvl 30 rank S / not unlocked,SS,S,S,A,S,S,S,Lower than lvl 30 rank S / not unlocked,S,S,S,S,SS,S,S,SS,SS,S,SS,S,Lower than lvl 30 rank S / not unlocked,S,S,S,S,S,SS,S,Lower than lvl 30 rank S / not unlocked,S,SS,S,S,S,S,S,S,SS,S,S,S,A
@high6261,FERYX,34,4,S,S,Lower than lvl 30 rank S / not unlocked,S,S,S,S,S,SS,S,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,S,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,S,S,SS,S,S,S,S,S,S,S,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,S,Lower than lvl 30 rank S / not unlocked,S,S,SS,S,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,S,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,S,S,Lower than lvl 30 rank S / not unlocked,S,SS
@lehong8182,Heng,34,4,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,SS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,SS,SS,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,S,SSS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,S,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,S,SS,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SSS,S,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,S,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,SS,S,S
@larz55,Larz55,34,4,S,SS,Lower than lvl 30 rank S / not unlocked,S,S,S,S,Lower than lvl 30 rank S / not unlocked,S,SS,S,S,S,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,S,S,S,S,S,SS,S,S,S,S,S,S,S,SS,S,SSS,S,SS,S,SSS,SS,S,S,S,S,S,SS,S,S,S,SS,S,S,SS,Lower than lvl 30 rank S / not unlocked,SSS,S,S,S,S
@vgamer76,Vgamer,34,4,Lower than lvl 30 rank S / not unlocked,SS,SS,SS,A,SS,SS,Lower than lvl 30 rank S / not unlocked,SS,SS,SS,SS,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,SSS,SS,SS,SS,SS,S,SS,SSS,SS,S,SS,SS,SS,SS,S,SSS,SS,SS,SSS,S,SS,SSS,SS,Lower than lvl 30 rank S / not unlocked,SS,SS,SS,SSS,SS,SS,S,S,SS,Lower than lvl 30 rank S / not unlocked,SS,SS,Lower than lvl 30 rank S / not unlocked,SSS,SS,SS,S,SS
@m3r0d1_54512,Ant,34,4,Lower than lvl 30 rank S / not unlocked,SS,S,SS,SS,SS,S,Lower than lvl 30 rank S / not unlocked,SS,S,SS,Lower than lvl 30 rank S / not unlocked,SSS,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,SS,SS,Lower than lvl 30 rank S / not unlocked,SS,S,SS,SS,SS,SSS,S,SSS,S,SS,S,SS,S,SSS,S,S,SS,SS,S,SS,SS,SS,SSS,S,SS,S,Lower than lvl 30 rank S / not unlocked,SS,SS,SS,S,SS,S,SS,SS,SS,SS
@wasted.bro,North,34,5,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,S,A,A,Lower than lvl 30 rank S / not unlocked,Lower than lvl 30 rank S / not unlocked,A,S,A,A,A,Lower than lvl 30 rank S / not unlocked,SS,A,A,Lower than lvl 30 rank S / not unlocked,A,S,A,SS,A,Lower than lvl 30 rank S / not unlocked,A,S,S,A,S,Lower than lvl 30 rank S / not unlocked,SS,Lower than lvl 30 rank S / not unlocked,A,Lower than lvl 30 rank S / not unlocked,S,S,Lower than lvl 30 rank S / not unlocked,A,A,A,A,S,Lower than lvl 30 rank S / not unlocked,S,Lower than lvl 30 rank S / not unlocked,A,A,Lower than lvl 30 rank S / not unlocked,S,SS,A,S,S,A,Lower than lvl 30 rank S / not unlocked,A
